DATE,cpi,ppi,eff,sentiement,nonfarm,ism,spx,gold,usoil,us10y,us2y,yc
1989-01-31,121.2,110.5,9.14,97.9,107161.0,54.7,296.84,393.1000061,17.73,8.98799992,9.11299992,-0.125
1989-02-28,121.6,110.8,9.87,95.4,107427.0,54.1,289.95,386.6000061,18.72,9.31799984,9.53199959,-0.21399974999999927
1989-03-31,122.2,111.5,9.79,94.3,107621.0,51.5,292.52,385.1000061,20.81,9.33399963,9.80300045,-0.46900082000000154
1989-04-30,123.1,112.3,9.82,91.5,107791.0,52.2,307.77,377.0,20.58,9.06200027,9.21399975,-0.15199947999999885
1989-05-31,123.7,113.2,10.48,90.7,107913.0,49.3,321.97,368.6000061,19.81,8.60299969,8.81900024,-0.21600054999999863
1989-06-30,124.1,112.9,9.63,90.6,108027.0,47.3,319.68,374.0,20.26,8.11400032,8.13799953,-0.023999209999999493
1989-07-31,124.5,112.8,8.94,92.0,108069.0,45.9,344.74,367.79998779,18.21,7.78999996,7.52600002,0.2639999400000006
1989-08-31,124.5,112.0,8.92,89.6,108120.0,45.1,351.45,360.6000061,18.83,8.25599957,8.40600014,-0.15000056999999956
1989-09-30,124.8,112.4,9.24,95.8,108369.0,46.0,348.6,367.20001221,19.86,8.29399967,8.40999985,-0.11600018000000034
1989-10-31,125.4,112.8,8.89,93.9,108476.0,46.8,338.48,378.5,20.01,7.92299986,7.81400013,0.10899972999999985
1989-11-30,125.9,112.7,8.6,90.9,108752.0,46.8,345.99,413.6000061,19.89,7.83799982,7.78000021,0.05799961000000042
1989-12-31,126.3,113.0,7.97,90.5,108836.0,47.4,355.66,406.29998779,23.41,7.90500021,7.91900015,-0.013999939999999711
1990-01-31,127.5,114.9,8.26,93.0,109199.0,47.2,328.79,418.20001221,22.7,8.41800022,8.28899956,0.1290006599999991
1990-02-28,128.0,114.4,8.29,89.5,109435.0,49.1,332.74,403.0,21.17,8.52700043,8.43000031,0.0970001199999988
1990-03-31,128.6,114.2,8.3,91.3,109644.0,49.9,340.79,370.20001221,20.05,8.62100029,8.61900043,0.0019998599999997424
1990-04-30,128.9,114.1,8.23,93.9,109686.0,50.0,335.57,370.8999939,17.99,9.01799965,8.95300007,0.06499958000000028
1990-05-31,129.1,114.6,8.23,90.6,109839.0,49.5,361.23,359.20001221,17.4,8.61800003,8.47999954,0.1380004899999996
1990-06-30,129.9,114.3,8.32,88.3,109856.0,49.2,357.63,357.8999939,17.15,8.45600033,8.3579998,0.0980005300000002
1990-07-31,130.5,114.5,8.05,88.2,109824.0,46.6,351.48,377.3999939,23.11,8.3920002,8.12100029,0.27099991000000045
1990-08-31,131.6,116.5,8.06,76.4,109616.0,46.1,318.71,382.29998779,26.77,8.85900021,8.19099998,0.6680002299999988
1990-09-30,132.5,118.4,8.03,72.8,109518.0,44.5,312.69,393.6000061,36.93,8.65200043,7.85599995,0.7960004799999991
1990-10-31,133.4,120.8,9.52,63.9,109367.0,43.2,307.02,376.3999939,35.17,8.55500031,7.66400003,0.8910002800000001
1990-11-30,133.7,120.1,7.61,66.0,109214.0,41.3,316.42,383.29998779,32.91,8.34500027,7.55000019,0.7950000799999994
1990-12-31,134.2,118.7,5.53,65.5,109166.0,40.8,321.91,384.8999939,25.48,7.93300009,7.08699989,0.8460001999999998
1991-01-31,134.7,119.0,8.18,66.8,109055.0,39.2,343.93,366.1000061,21.54,8.02099991,7.05900002,0.9619998900000004
1991-02-28,134.8,117.2,6.99,70.4,108734.0,39.4,367.07,367.0,19.16,8.04500008,7.07399988,0.9710001999999998
1991-03-31,134.8,116.2,5.53,87.7,108574.0,40.7,379.77,359.79998779,19.98,8.00800037,6.95300007,1.0550002999999997
1991-04-30,135.1,116.0,5.98,81.8,108364.0,42.8,380.52,353.8999939,21.17,7.94700003,6.76100016,1.1859998699999998
1991-05-31,135.6,116.5,5.92,78.3,108249.0,44.5,386.96,361.3999939,21.32,8.02200031,6.61399984,1.4080004699999993
1991-06-30,136.0,116.4,6.74,82.1,108334.0,50.3,373.33,370.20001221,20.67,8.2510004,6.97300005,1.278000350000001
1991-07-31,136.2,116.1,5.85,82.9,108292.0,50.6,387.12,355.6000061,21.27,8.1619997,6.81500006,1.3469996400000008
1991-08-31,136.6,116.2,5.5,82.0,108310.0,52.9,396.47,348.1000061,21.97,7.7420001,6.25699997,1.4850001300000004
1991-09-30,137.0,116.1,5.6,83.0,108336.0,54.9,384.47,358.0,22.67,7.46099997,5.95599985,1.5050001199999992
1991-10-31,137.2,116.4,5.23,78.3,108357.0,53.1,392.45,355.6000061,23.37,7.42199993,5.68100023,1.7409996999999997
1991-11-30,137.8,116.4,4.86,69.1,108296.0,49.5,376.55,367.8999939,21.35,7.41400003,5.43300009,1.9809999400000002
1991-12-31,138.2,115.9,4.09,68.2,108328.0,46.8,417.26,353.0,19.49,6.77699995,4.75,2.0269999500000004
1992-01-31,138.3,115.6,4.4,67.5,108369.0,47.3,411.62,357.0,18.94,7.30299997,5.17500019,2.1279997799999997
1992-02-29,138.6,116.0,4.13,68.8,108311.0,52.7,413.86,352.70001221,18.75,7.329,5.33300018,1.9959998199999998
1992-03-31,139.1,116.1,4.07,76.0,108365.0,54.6,400.5,341.20001221,19.8,7.44500017,5.48999977,1.9550004000000003
1992-04-30,139.4,116.3,3.85,77.2,108519.0,52.6,414.95,338.5,20.85,7.58300018,5.30800009,2.27500009
1992-05-31,139.7,117.2,3.8,79.2,108649.0,55.7,413.26,338.70001221,22.48,7.33300018,5.15799999,2.1750001899999996
1992-06-30,140.1,118.0,4.53,80.4,108715.0,53.6,411.77,346.5,22.1,6.921,4.81699991,2.1040000900000004
1992-07-31,140.5,117.9,3.37,76.6,108793.0,53.9,423.92,357.3999939,21.83,6.65799999,4.31599998,2.3420000100000005
